topic,question,link,difficulty,completed
Arrays,Two Sum,https://leetcode.com/problems/two-sum/,Easy,No
Arrays,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,No
Arrays,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,No
Arrays,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,No
Arrays,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,No
Arrays,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,No
Arrays,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,No
Arrays,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,No
Arrays,3Sum,https://leetcode.com/problems/3sum/,Medium,No
Arrays,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,No

Strings,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,No
Strings,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,No
Strings,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,No
Strings,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,No
Strings,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,No
Strings,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,No
Strings,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,No
Strings,Decode String,https://leetcode.com/problems/decode-string/,Medium,No

LinkedList,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,No
LinkedList,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,No
LinkedList,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,No
LinkedList,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,No
LinkedList,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,No
LinkedList,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,No
LinkedList,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,No

Stack,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,No
